x,50.xy,Ycalc,Diff,Gd2O3,UO2
19.18,111,94.3692566,16.6307434,0.660476883,0
19.2,82,94.318903,-12.318903,0.683074789,0
19.22,93,94.2700879,-1.27008794,0.707286649,0
19.24,89,94.2229714,-5.22297136,0.733272953,0
19.26,97,94.1777332,2.82226678,0.761214394,0
19.28,106,94.1345768,11.8654232,0.791314936,0
19.3,92,94.0937324,-2.09373238,0.823805447,0
19.32,95,94.0554613,0.944538677,0.85894798,0
19.34,100,94.0200614,5.97993864,0.897040881,0
19.36,104,93.9878726,10.0121274,0.938424866,0
19.38,99,93.9592849,5.04071513,0.983490325,0
19.4,96,93.9347464,2.06525359,1.03268612,0
19.42,89,93.9147747,-4.9147747,1.08653028,0
19.44,93,93.8999694,-0.899969386,1.14562302,0
19.46,87,93.8910284,-6.89102835,1.21066275,0
19.48,85,93.8887674,-8.88876742,1.28246582,0
19.5,107,93.8941449,13.1058551,1.36199102,0
19.52,95,93.9082917,1.09170825,1.45036993,0
19.54,108,93.9325496,14.0674504,1.54894455,0
19.56,94,93.9685169,0.0314831007,1.65931384,0
19.58,93,94.0181059,-1.01810593,1.78339055,0
19.6,93,94.0836115,-1.08361148,1.92346992,0
19.62,110,94.1677923,15.8322077,2.08231112,0
19.64,104,94.273965,9.72603499,2.26323125,0
19.66,103,94.4061091,8.59389093,2.47021013,0
19.68,96,94.5689771,1.43102291,2.70800079,0
19.7,89,94.7682009,-5.76820091,2.98223545,0
19.72,81,95.0103742,-14.0103742,3.29950814,0
19.74,88,95.3030776,-7.30307762,3.66739996,0
19.76,90,95.6547888,-5.65478878,4.0943888,0
19.78,80,96.0745791,-16.0745791,4.58954643,0
19.8,88,96.5714465,-8.57144654,5.16187116,0
19.82,88,97.1530674,-9.15306741,5.8190396,0
19.84,85,97.8237054,-12.8237054,6.56531579,0
19.86,82,98.5810577,-16.5810577,7.39839708,0
19.88,85,99.4120473,-14.4120473,8.30520693,0
19.9,102,100.2881,1.71190017,9.2571711,0
19.92,93,101.161286,-8.16128602,10.2063606,0
19.94,86,101.963723,-15.963723,11.0848929,0
